id;name
8;Автономная Республика Крым
9;Винницкая область
10;Волынская область
11;Днепропетровская область
12;Донецкая область
13;Житомирская область
14;Закарпатская область
15;Запорожская область
16;Ивано-Франковская область
17;Киевская область
18;Кировоградская область
19;Луганская область
20;Львовская область
21;Николаевская область
22;Одесская область
23;Полтавская область
24;Ровенская область
25;Сумская область
26;Тернопольская область
27;Харьковская область
28;Херсонская область
29;Хмельницкая область
30;Черкасская область
31;Черниговская область
32;Черновицкая область
